Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,1,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,115.0,45.0,6.0,69.27710843373494,27.10843373493976,3.6144578313253013,0.47609692206941717,0.1825730265797864,0.34156094247361096,66.1124092689058,92.07631856259172,238.54172890832086,22638.63396372419,-22400.09223481587,1.4369983669175956,141.4914622732762,-140.0005764675992,94.83790932734598,0.5927369332959124,6356.636957342643,0.8829787234042553,83.0,0.2878787878787879,19.0,0.7121212121212122,47.0,0.11702127659574468,11.0,0.8137254901960784,0.8829787234042553,0.846938775510204,0.8088541666666667,0.71875,0.21760163855752093,0.7823983614424792,0.28125,0.6747549019607842,0.71875,0.6853634846995909,0.783874826612324,0.032,0.0,0.03125,0.0,117283.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,2,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,112.0,47.0,7.0,67.46987951807229,28.313253012048193,4.216867469879518,0.4228897984400339,0.18590745577814927,0.3568530310828968,67.20022911560365,95.72765516475677,239.79281132472212,21579.6149581562,-21339.822146831477,1.4445350079802537,135.7208487934352,-134.21271790460048,87.90276192829279,0.5528475592974389,5891.79948281252,0.978021978021978,89.0,0.4411764705882353,30.0,0.5588235294117647,38.0,0.02197802197802198,2.0,0.7478991596638656,0.978021978021978,0.8476190476190475,0.8134672619047619,0.7044025157232704,0.28059309500982493,0.719406904990175,0.29559748427672955,0.6600169465229793,0.7044025157232704,0.6606878832300878,0.7723281744998306,0.016,0.0,0.015625,0.0,118359.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,3,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,118.0,46.0,2.0,71.08433734939759,27.710843373493976,1.2048192771084338,0.4462712859659424,0.1821329071771715,0.33823032679005305,64.31955427919088,90.0247486223681,242.04695511138348,19430.634855494394,-19188.587900383012,1.4581141874179728,118.47948082618534,-117.003584758433,95.14106035595582,0.5801284168046086,6376.956058067083,0.968421052631579,92.0,0.4057971014492754,28.0,0.5942028985507246,41.0,0.031578947368421054,3.0,0.7666666666666667,0.968421052631579,0.8558139534883721,0.8405505952380953,0.7195121951219512,0.2697765486334154,0.7302234513665846,0.2804878048780488,0.652160890029953,0.7195121951219512,0.6736170361508188,0.8020374838988749,0.016,0.0,0.015625,0.0,114071.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,4,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,115.0,44.0,7.0,69.27710843373494,26.50602409638554,4.216867469879518,0.4860039673793254,0.1604385003520185,0.32340183469537903,58.92079619442015,88.1453722081166,232.01277508752042,18336.13559351284,-18104.12281842532,1.39766731980434,115.32160750637007,-113.86240766305232,97.53853908071184,0.6134499313252317,6537.650256983091,0.8936170212765957,84.0,0.26153846153846155,17.0,0.7384615384615385,48.0,0.10638297872340426,10.0,0.8316831683168316,0.8936170212765957,0.8615384615384615,0.8854910714285714,0.7232704402515723,0.1996911416362247,0.8003088583637753,0.27672955974842767,0.6904290429042903,0.7232704402515723,0.7059464462253634,0.8309719329738211,0.026,0.001,0.015625,0.0,121119.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,5,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,116.0,44.0,6.0,69.87951807228916,26.50602409638554,3.6144578313253013,0.46807706837929725,0.176431791947337,0.3454004310300915,63.68507008119062,92.81422054452786,239.56362662647476,25847.69701621271,-25608.133389586237,1.4431543772679203,161.54810635132944,-160.05083368491398,94.13068738912197,0.5883167961820124,6309.234466698937,0.956989247311828,89.0,0.373134328358209,25.0,0.6268656716417911,42.0,0.043010752688172046,4.0,0.7807017543859649,0.956989247311828,0.8599033816425121,0.845014880952381,0.725,0.24810897338863497,0.7518910266113652,0.275,0.6595261379800854,0.725,0.6846953837895866,0.7865695766291388,0.007,0.0,0.015625,0.0,120595.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,6,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,118.0,45.0,3.0,71.08433734939759,27.10843373493976,1.8072289156626506,0.46580729735634707,0.1752514139328435,0.34147237833007693,62.133852488608504,90.9676859029992,242.41411342825538,22637.76788325574,-22395.353769827485,1.4603259845075625,138.88201155371618,-137.3948084038496,91.30229094302183,0.5601367542516676,6119.657434615285,0.9893617021276596,93.0,0.37681159420289856,26.0,0.6231884057971014,43.0,0.010638297872340425,1.0,0.7815126050420168,0.9893617021276596,0.8732394366197184,0.8553571428571428,0.7239263803680982,0.245891749035116,0.754108250964884,0.27607361963190186,0.6765555953691134,0.7239263803680982,0.685960817603434,0.793949874486199,0.015,0.0,0.015625,0.0,116443.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,7,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1491.0,166.0,115.0,47.0,4.0,69.27710843373494,28.313253012048193,2.4096385542168677,0.4294492319220682,0.17156628813634778,0.339528236816387,61.00030906860757,90.39784729452438,243.1938025922824,19424.137461463364,-19180.94365887108,1.4650229071824241,119.90208309545287,-118.40088678315482,101.17714526643081,0.6245502794224125,6784.648797793403,0.946236559139785,88.0,0.43478260869565216,30.0,0.5652173913043478,39.0,0.053763440860215055,5.0,0.7457627118644068,0.946236559139785,0.8341232227488151,0.8132690882134914,0.7098765432098766,0.28766812687010124,0.7123318731298987,0.29012345679012347,0.6513991599426352,0.7098765432098766,0.6593685962296483,0.787910401828335,0.016,0.0,0.015625,0.0,118123.0,203721.0,27496.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,8,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1492.0,165.0,114.0,44.0,7.0,69.0909090909091,26.666666666666668,4.242424242424242,0.4697986577181208,0.17794172540933115,0.33453367858168087,65.25014558425204,91.0114741168157,232.17655876737305,18347.90534032535,-18115.728781557977,1.4071306591962003,116.12598316661614,-114.6565112756834,94.78802450250073,0.59992420571203,6355.285378343493,0.9042553191489362,85.0,0.3125,20.0,0.6875,44.0,0.09574468085106383,9.0,0.8095238095238095,0.9042553191489362,0.8542713567839195,0.8592481203007519,0.7215189873417721,0.2309816161089305,0.7690183838910696,0.27848101265822783,0.6766672146418982,0.7215189873417721,0.6942839011069478,0.8047815340681038,0.016,0.0,0.0,0.0,120515.0,203854.0,27363.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,9,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1492.0,165.0,115.0,49.0,1.0,69.6969696969697,29.696969696969695,0.6060606060606061,0.4057971014492753,0.1720817148190115,0.3403353341042007,60.34643758300389,90.2602596384829,243.21423076975793,23707.998957289386,-23464.78472651963,1.474025641028836,144.56096925176456,-143.07795564950993,98.37499494972538,0.5998475301812523,6588.137362924265,0.9473684210526315,90.0,0.463768115942029,32.0,0.5362318840579711,37.0,0.05263157894736842,5.0,0.7377049180327869,0.9473684210526315,0.8294930875576036,0.8238979468599034,0.7012195121951219,0.30110877768111927,0.6988912223188808,0.29878048780487804,0.633629881380781,0.7012195121951219,0.654945961207988,0.7930833931356945,0.016,0.015,0.015625,0.015625,118423.0,203854.0,27363.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.trees.Id3,'',-2693678647096322561,2.0180317101400003E7,1492.0,165.0,111.0,45.0,9.0,67.27272727272727,27.272727272727273,5.454545454545454,0.44628490298154283,0.17985928926078476,0.33878245018262765,66.24509196883261,92.03515750775782,231.0677968986018,20489.106001310272,-20258.03820441167,1.4004108902945565,131.34042308532227,-129.85921925904918,94.84613926972494,0.6079880722418266,6351.8111911601945,0.9111111111111111,82.0,0.3787878787878788,25.0,0.6212121212121212,41.0,0.08888888888888889,8.0,0.7663551401869159,0.9111111111111111,0.8324873096446701,0.8254076086956522,0.7115384615384616,0.26390502539438704,0.7360949746056128,0.28846153846153844,0.6800358909003769,0.7115384615384616,0.6751619735270733,0.7914868500524289,0.016,0.0,0.015625,0.0,117759.0,203854.0,27363.0,?,?,?,?
