@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,-24,1,1414,900,Ground,Enemy,NoEnemy,NoCoin,move,1313,1403
0,0,0,0,-60,1,0,1414,900,Ground,NoEnemy,Enemy,NoCoin,move,1313,1403
0,0,0,0,-60,-60,-60,1414,565,Air,NoEnemy,NoEnemy,NoCoin,move,1313,1403
0,0,0,0,-60,-60,-60,1414,565,Air,NoEnemy,NoEnemy,NoCoin,move,1323,1403
0,0,2,2,2,1,-24,1414,905,Air,NoEnemy,Enemy,Coin,move,1403,1509
0,0,2,2,2,1,-24,1414,905,Air,NoEnemy,Enemy,Coin,move,1403,1509
0,0,2,-24,0,-60,-60,1414,223,Air,NoEnemy,NoEnemy,NoCoin,move,1413,1509
0,0,2,0,2,0,-24,1414,905,Air,NoEnemy,NoEnemy,NoCoin,move,1429,1509
0,0,0,2,2,0,0,1414,806,Air,NoEnemy,NoEnemy,Coin,move,1429,1509
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,1541,1551
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,1541,1551
0,0,0,0,-60,1,0,1414,1414,Ground,NoEnemy,Enemy,NoCoin,move,1541,1551
0,0,0,0,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1541,1551
0,0,0,0,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1551,1551
0,0,0,1,0,-60,-60,1414,1204,Air,Enemy,NoEnemy,NoCoin,move,1551,1561
0,0,2,2,2,-24,0,1414,707,Air,NoEnemy,NoEnemy,Coin,move,1571,1683
0,0,0,0,0,1,-85,1414,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,1689,1689
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1689,1689
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1689,1689
0,0,0,0,0,0,1,1414,1029,Air,Enemy,NoEnemy,NoCoin,move,1689,1763
0,0,2,2,2,-24,-24,1414,412,Ground,NoEnemy,NoEnemy,Coin,move,1699,1891
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,1891,1901
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1901,1901
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1901,1901
0,0,0,1,1,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,1901,1869
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,-1,19
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,-1,19
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,189
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,189
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,189
0,0,0,0,2,-24,0,1414,700,Ground,NoEnemy,NoEnemy,NoCoin,move,93,189
0,0,0,0,0,0,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,189,199
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,199,199
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,199,157
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,199,157
0,0,0,0,0,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,199,157
0,0,0,1,0,-60,-60,1414,1081,Ground,Enemy,NoEnemy,NoCoin,move,199,157
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,157,221
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,157,221
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,157,221
