@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,-1,9
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,-1,9
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,still,51,51
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,still,51,51
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,still,51,51
0,0,0,0,2,-24,0,1414,700,Ground,NoEnemy,NoEnemy,NoCoin,still,83,83
0,0,0,0,0,-60,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,still,179,179
0,0,0,0,0,1,0,1414,1000,Air,NoEnemy,Enemy,NoCoin,move,179,189
0,0,0,0,0,-60,-60,1414,1081,Air,NoEnemy,NoEnemy,NoCoin,move,189,189
0,0,0,0,0,0,0,1414,943,Air,NoEnemy,NoEnemy,NoCoin,move,189,189
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,189,221
0,0,0,0,0,0,1,1414,824,Air,Enemy,NoEnemy,NoCoin,move,413,423
0,0,2,2,2,1,-24,1414,141,Ground,NoEnemy,Enemy,Coin,still,747,789
0,0,2,-24,0,-60,-60,1414,223,Air,NoEnemy,NoEnemy,NoCoin,still,757,789
0,0,2,2,2,1,-24,1414,141,Air,NoEnemy,Enemy,Coin,still,757,789
0,0,2,2,2,1,-24,1414,141,Air,NoEnemy,Enemy,Coin,still,757,789
0,0,0,0,2,0,0,1414,200,Air,NoEnemy,NoEnemy,NoCoin,still,789,821
0,0,0,0,2,0,0,1414,200,Air,NoEnemy,NoEnemy,NoCoin,still,789,821
0,0,0,2,2,0,2,1414,100,Air,NoEnemy,NoEnemy,Coin,still,789,821
0,0,0,0,2,-24,0,1414,223,Air,NoEnemy,NoEnemy,NoCoin,move,821,837
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,853,863
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,853,863
0,0,0,0,0,1,1,1414,1140,Air,Enemy,Enemy,NoCoin,still,937,947
0,0,0,0,0,0,0,1414,1000,Air,NoEnemy,NoEnemy,NoCoin,move,947,947
0,0,0,0,0,0,0,1414,1000,Air,NoEnemy,NoEnemy,NoCoin,move,947,947
0,0,1,-60,-60,-60,-60,1414,921,Ground,NoEnemy,Enemy,NoCoin,still,947,905
0,0,0,1,0,0,-60,1414,848,Air,Enemy,NoEnemy,NoCoin,still,905,905
0,0,-24,2,0,2,2,1414,0,Air,NoEnemy,NoEnemy,Coin,move,957,1005
0,0,-24,2,0,2,2,1414,0,Air,NoEnemy,NoEnemy,Coin,move,957,1005
0,0,2,2,0,-24,-24,1414,141,Air,NoEnemy,NoEnemy,Coin,move,973,1005
0,0,0,0,0,-24,-24,1414,1414,Ground,NoEnemy,NoEnemy,NoCoin,move,1005,1005
0,0,0,0,0,0,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,1005,1015
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,1111,1121
0,0,0,0,0,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1121,1121
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1121,1121
