@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,-1,19
0,0,0,0,-60,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,9,19
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,157
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,157
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,61,157
0,0,0,0,2,-24,0,1414,700,Air,NoEnemy,NoEnemy,NoCoin,move,93,157
0,0,0,0,0,0,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,189,199
0,0,0,0,0,1,1,1414,1414,Air,Enemy,Enemy,NoCoin,move,199,199
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,199,199
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,199,199
0,0,0,0,0,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,199,199
0,0,0,0,0,0,1,1414,1000,Air,Enemy,NoEnemy,NoCoin,jump,199,199
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,199,263
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,199,263
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,199,263
0,0,2,-24,-24,-60,-60,1414,905,Air,NoEnemy,NoEnemy,NoCoin,move,231,263
0,0,0,0,0,0,1,1414,824,Ground,Enemy,NoEnemy,NoCoin,move,439,481
0,0,0,0,0,1,0,1414,806,Ground,NoEnemy,Enemy,NoCoin,move,513,587
0,0,0,0,-24,-60,-60,1414,905,Air,NoEnemy,NoEnemy,NoCoin,move,523,587
0,0,0,0,0,0,0,1414,806,Air,NoEnemy,NoEnemy,NoCoin,move,523,587
0,0,0,2,2,0,2,1414,700,Air,NoEnemy,NoEnemy,Coin,move,523,587
0,0,0,0,0,0,1,1414,632,Air,Enemy,NoEnemy,NoCoin,move,587,587
0,0,0,0,-60,1,0,1414,600,Air,NoEnemy,Enemy,NoCoin,move,587,597
0,0,0,0,-60,-60,-60,1414,700,Air,NoEnemy,NoEnemy,NoCoin,move,587,597
0,0,0,0,-60,-60,-60,1414,700,Air,NoEnemy,NoEnemy,NoCoin,move,597,597
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,597,693
0,0,2,2,2,1,-24,1414,141,Air,NoEnemy,Enemy,Coin,move,741,815
0,0,2,-24,0,-60,-60,1414,223,Air,NoEnemy,NoEnemy,NoCoin,move,751,815
0,0,2,0,2,1,-24,1414,141,Air,NoEnemy,Enemy,NoCoin,move,767,815
0,0,2,0,2,1,-24,1414,141,Air,NoEnemy,Enemy,NoCoin,move,767,815
0,0,0,2,2,0,0,1414,100,Air,NoEnemy,NoEnemy,Coin,move,767,831
0,0,0,2,2,0,0,1414,100,Air,NoEnemy,NoEnemy,Coin,move,767,831
0,0,0,0,2,0,0,1414,200,Air,NoEnemy,NoEnemy,NoCoin,move,783,831
0,0,0,2,2,0,2,1414,100,Air,NoEnemy,NoEnemy,Coin,move,783,831
0,0,0,1,0,-60,-60,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,831,789
0,0,0,1,0,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,831,789
0,0,0,1,0,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,789,789
0,0,0,0,0,1,0,1414,761,Air,NoEnemy,Enemy,NoCoin,still,789,799
0,0,0,0,-24,-60,-60,1414,854,Air,NoEnemy,NoEnemy,NoCoin,still,799,799
0,0,0,0,0,0,0,1414,761,Air,NoEnemy,NoEnemy,NoCoin,still,799,799
0,0,0,2,2,0,2,1414,608,Air,NoEnemy,NoEnemy,Coin,move,799,863
0,0,0,0,0,-60,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,863,863
0,0,0,0,0,1,-60,1414,848,Air,NoEnemy,Enemy,NoCoin,move,863,873
0,0,0,-60,-60,-60,-60,1414,921,Air,NoEnemy,NoEnemy,NoCoin,move,873,873
0,0,0,0,0,0,-60,1414,848,Air,NoEnemy,NoEnemy,NoCoin,move,873,873
0,0,0,0,0,0,1,1414,905,Air,Enemy,NoEnemy,NoCoin,move,873,883
0,0,-24,2,0,2,2,1414,0,Air,NoEnemy,NoEnemy,Coin,move,931,979
0,0,0,-60,-60,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,1075,1085
0,0,-60,-60,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1085,1085
0,0,0,-60,-60,0,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1085,1085
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,still,1101,1165
0,0,0,0,0,1,-60,1414,1000,Air,NoEnemy,Enemy,NoCoin,move,1165,1175
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,1185,1281
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,1185,1281
0,0,0,2,2,0,2,1414,600,Air,NoEnemy,NoEnemy,Coin,move,1185,1281
0,0,0,0,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,NoCoin,move,1217,1281
0,0,0,0,-60,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,1281,1291
0,0,-60,-60,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1291,1291
0,0,0,-60,-60,0,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,1291,1291
0,0,0,0,0,1,0,1414,707,Air,NoEnemy,Enemy,NoCoin,move,1291,1291
0,0,0,0,0,0,1,1414,707,Air,Enemy,NoEnemy,NoCoin,move_jump,1291,1291
0,0,0,2,2,0,2,1414,412,Air,NoEnemy,NoEnemy,Coin,move,1323,1387
0,0,0,2,2,0,2,1414,412,Air,NoEnemy,NoEnemy,Coin,move,1323,1387
0,0,0,2,2,0,2,1414,412,Air,NoEnemy,NoEnemy,Coin,move,1323,1387
0,0,0,0,2,-24,-24,1414,538,Air,NoEnemy,NoEnemy,NoCoin,move,1355,1387
0,0,0,0,0,-24,1,1414,700,Ground,Enemy,NoEnemy,NoCoin,move,1387,1397
0,0,0,0,0,-24,1,1414,700,Ground,Enemy,NoEnemy,NoCoin,move,1387,1397
0,0,0,0,0,1,0,1414,700,Ground,NoEnemy,Enemy,NoCoin,move,1387,1397
0,0,0,0,0,-60,-60,1414,800,Air,NoEnemy,NoEnemy,NoCoin,move,1387,1397
0,0,0,0,0,-60,-60,1414,800,Air,NoEnemy,NoEnemy,NoCoin,move,1397,1397
0,0,0,2,0,0,0,1414,700,Air,NoEnemy,NoEnemy,Coin,move,1461,1477
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,1557,1567
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,-1,19
0,0,0,0,-60,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,9,19
0,0,0,2,2,0,1,1414,806,Air,Enemy,NoEnemy,Coin,move,29,71
0,0,2,2,0,-24,-24,1414,905,Air,NoEnemy,NoEnemy,Coin,move,71,71
0,0,0,2,0,0,2,1414,806,Air,NoEnemy,NoEnemy,Coin,move,71,71
0,0,0,0,0,0,2,1414,707,Air,NoEnemy,NoEnemy,NoCoin,move,71,71
0,0,0,0,0,0,1,1414,943,Air,Enemy,NoEnemy,NoCoin,move_jump,167,167
0,0,0,0,0,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,263,273
0,0,0,-60,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,273,273
0,0,0,0,0,0,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,273,273
0,0,0,1,0,-60,-60,1414,707,Air,Enemy,NoEnemy,NoCoin,move,273,283
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,move,283,379
0,0,0,0,0,1,0,1414,761,Air,NoEnemy,Enemy,NoCoin,move,379,389
0,0,0,0,-60,-24,-24,1414,854,Air,NoEnemy,NoEnemy,NoCoin,move,389,389
0,0,0,0,0,0,0,1414,761,Air,NoEnemy,NoEnemy,NoCoin,move,389,389
0,0,0,2,2,0,2,1414,800,Air,NoEnemy,NoEnemy,Coin,move,389,453
0,0,0,1,0,-60,-60,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,517,527
0,0,2,2,0,1,-24,1414,141,Ground,NoEnemy,Enemy,Coin,move,517,517
0,0,2,-24,-24,-60,-60,1414,223,Air,NoEnemy,NoEnemy,NoCoin,move,527,517
0,0,2,2,0,0,-24,1414,141,Air,NoEnemy,NoEnemy,Coin,move,527,517
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,559,517
-24,0,0,0,0,0,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,517,543
-24,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,527,543
0,-24,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,527,543
0,-60,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,543,543
0,0,0,0,0,0,1,1414,500,Air,Enemy,NoEnemy,NoCoin,move,543,569
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,1,0,1414,1063,Air,NoEnemy,Enemy,NoCoin,move,-1,9
0,0,0,2,0,2,2,1414,800,Air,NoEnemy,NoEnemy,Coin,still,25,73
0,0,0,2,0,2,2,1414,800,Air,NoEnemy,NoEnemy,Coin,still,25,73
0,0,0,0,0,-24,0,1414,900,Air,NoEnemy,NoEnemy,NoCoin,still,73,73
0,0,-60,0,-60,1,-60,1414,447,Air,NoEnemy,Enemy,NoCoin,move_jump,73,73
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,move_jump,73,169
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,move_jump,73,169
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,move,73,169
0,0,0,0,2,-24,-24,1414,824,Ground,NoEnemy,NoEnemy,NoCoin,move,105,169
0,0,0,0,-85,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,169,169
0,0,0,0,-85,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,169,169
0,0,-85,-85,-85,-60,-60,1414,1414,Ground,NoEnemy,NoEnemy,NoCoin,move,169,169
0,0,0,0,0,1,1,1414,943,Air,Enemy,Enemy,NoCoin,move,169,179
0,0,0,0,0,1,1,1414,943,Air,Enemy,Enemy,NoCoin,move,169,179
0,0,0,1,0,-60,-60,1414,1029,Air,Enemy,NoEnemy,NoCoin,move,169,179
0,0,2,2,2,-24,-24,1414,608,Air,NoEnemy,NoEnemy,Coin,move,179,275
0,0,2,2,2,-24,-24,1414,608,Air,NoEnemy,NoEnemy,Coin,move,179,275
0,0,2,2,2,-24,-24,1414,608,Air,NoEnemy,NoEnemy,Coin,move,179,275
0,0,0,0,2,-24,-24,1414,608,Ground,NoEnemy,NoEnemy,NoCoin,move,211,307
0,0,0,0,0,-60,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,307,317
0,0,0,0,0,-60,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,307,317
0,0,0,0,0,-60,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,307,317
0,0,0,0,0,1,1,1414,1414,Ground,Enemy,Enemy,NoCoin,move,307,317
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,317,317
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,317,317
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,317,337
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,327,337
0,0,2,2,2,0,-24,1414,900,Air,NoEnemy,NoEnemy,Coin,move,337,401
0,0,2,2,2,0,-24,1414,900,Air,NoEnemy,NoEnemy,Coin,move,337,401
0,0,0,0,2,0,0,1414,800,Air,NoEnemy,NoEnemy,NoCoin,move,369,401
