@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,-1,-1
0,0,0,1,-60,-60,-60,1414,721,Ground,Enemy,NoEnemy,NoCoin,move_jump,-1,-43
0,0,0,2,2,0,2,1414,707,Air,NoEnemy,NoEnemy,Coin,move,21,85
0,0,0,0,0,1,0,1414,806,Air,NoEnemy,Enemy,NoCoin,move,509,509
0,0,0,0,0,0,0,1414,721,Air,NoEnemy,NoEnemy,NoCoin,move,509,509
0,0,0,0,0,0,0,1414,670,Air,NoEnemy,NoEnemy,NoCoin,move,509,509
0,0,2,2,2,-24,-24,1414,608,Air,NoEnemy,NoEnemy,Coin,move,509,605
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,605,615
0,0,0,0,0,1,0,1414,1029,Air,NoEnemy,Enemy,NoCoin,move,625,625
0,0,0,0,0,0,0,1414,894,Air,NoEnemy,NoEnemy,NoCoin,move,625,625
0,0,0,0,0,0,0,1414,894,Air,NoEnemy,NoEnemy,NoCoin,move,625,625
0,0,2,2,2,-24,-24,1414,806,Air,NoEnemy,NoEnemy,Coin,move,625,721
0,0,0,0,2,1,-24,1414,608,Air,NoEnemy,Enemy,NoCoin,move,817,859
0,0,0,-24,-24,-60,-60,1414,707,Air,NoEnemy,NoEnemy,NoCoin,move_jump,817,859
0,0,0,-24,-24,-60,-60,1414,707,Air,NoEnemy,NoEnemy,NoCoin,move_jump,827,859
0,0,-24,2,2,0,2,1414,900,Air,NoEnemy,NoEnemy,Coin,move,827,923
-24,0,0,0,0,-24,1,1414,781,Ground,Enemy,NoEnemy,NoCoin,move,923,933
