Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,1,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141315E7,6242.0,694.0,443.0,237.0,14.0,63.8328530259366,34.14985590778098,2.0172910662824206,0.3364651825379507,0.18880898513251457,0.4231405956521712,71.86467811496354,116.85106732183641,901.6946353456505,247075.81897530027,-246174.1243399546,1.299271808855404,363.3467926107357,-362.02077108816854,258.3889579328435,0.3799837616659463,19376.287897573482,0.753731343283582,303.0,0.4064748201438849,113.0,0.5935251798561151,165.0,0.2462686567164179,99.0,0.7283653846153846,0.753731343283582,0.7408312958435207,0.6571023703194778,0.6514705882352941,0.31310312244161687,0.6868968775583831,0.34852941176470587,0.6435910768153414,0.6514705882352941,0.6470780896315768,0.6546536371473516,3.365,0.003,2.890625,0.0,828262.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,2,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141315E7,6242.0,694.0,420.0,242.0,32.0,60.518731988472624,34.87031700288185,4.610951008645533,0.3041960016156844,0.19892657694772498,0.43486592540363644,77.96430202237636,122.00882822189408,873.8777863818287,256734.4926013003,-255860.61481491846,1.2591898939219435,387.81645408051406,-386.4963970013874,229.0570317158956,0.3460076007792985,17176.7208126763,0.7461928934010152,294.0,0.4291044776119403,115.0,0.5708955223880597,153.0,0.25380710659898476,100.0,0.7188264058679706,0.7461928934010152,0.7322540473225405,0.6386636894537959,0.6344410876132931,0.32935266253923245,0.6706473374607675,0.36555891238670696,0.6293340519237445,0.6344410876132931,0.6315744944593289,0.6297221053471075,2.815,0.002,2.546875,0.0,816404.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,3,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141315E7,6242.0,694.0,435.0,234.0,25.0,62.680115273775215,33.71757925072046,3.602305475504323,0.3233778807420342,0.18999128051818634,0.4255057099512642,73.65114725162263,118.69548432282508,884.6273623838717,249212.26303440583,-248327.63567202195,1.274679196518547,372.5145934744482,-371.19228052619127,236.72894468024225,0.3538549247836207,17753.76910969029,0.7738693467336684,308.0,0.4354243542435424,118.0,0.5645756457564576,153.0,0.22613065326633167,90.0,0.7230046948356808,0.7738693467336684,0.7475728155339806,0.6535538111783126,0.6502242152466368,0.3245913896936659,0.675408610306334,0.34977578475336324,0.6375887072188485,0.6502242152466368,0.6428457721077104,0.6437592384581978,3.555,0.0,2.671875,0.0,820903.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,4,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6242.0,694.0,447.0,218.0,29.0,64.4092219020173,31.412103746397694,4.178674351585014,0.3750215554405932,0.1747702589807853,0.4088390329563129,67.86124068375598,113.88973639360793,887.0012457655622,230945.25763523963,-230058.25638947406,1.2780997777601761,347.2861017071273,-345.9522652473294,302.7156559160053,0.4552115126556471,22702.52109762292,0.782608695652174,306.0,0.4051094890510949,111.0,0.5948905109489051,163.0,0.21739130434782608,85.0,0.7338129496402878,0.782608695652174,0.7574257425742574,0.6726804787028696,0.6721804511278195,0.30085568586466477,0.6991443141353351,0.32781954887218046,0.6645572511988219,0.6721804511278195,0.6673544791784257,0.6695034537035749,2.972,0.002,2.28125,0.0,795052.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,5,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6242.0,694.0,408.0,256.0,30.0,58.789625360230545,36.887608069164266,4.322766570605188,0.2655438511592537,0.20908634538152607,0.4462585734847624,81.2767437524634,124.35937736182659,886.6278568473491,269629.34312513494,-268742.7152682876,1.2775617533823473,406.06828783905866,-404.73300492211985,217.46505948868162,0.3275076197118699,16309.051099780225,0.7461538461538462,291.0,0.5,137.0,0.5,137.0,0.25384615384615383,99.0,0.6799065420560748,0.7461538461538462,0.7114914425427874,0.591356753742547,0.6144578313253012,0.36156405490833665,0.6384359450916635,0.3855421686746988,0.606550840810875,0.6144578313253012,0.6080172046048147,0.5990982798276107,2.389,0.002,2.328125,0.0,802346.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,6,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6242.0,694.0,409.0,260.0,25.0,58.93371757925072,37.46397694524496,3.602305475504323,0.2603931473473396,0.2062684450576827,0.44472895269797297,79.26159641031079,122.9628233389398,901.6651871510509,273911.82597060024,-273010.1607834492,1.2992293762983442,409.4347174448434,-408.0869368960376,199.81006805739534,0.2986697579333264,14990.343898090669,0.7480719794344473,291.0,0.46785714285714286,131.0,0.5321428571428571,149.0,0.2519280205655527,98.0,0.6895734597156398,0.7480719794344473,0.7176325524044389,0.6107021833311886,0.6113602391629297,0.3467810741635967,0.6532189258364032,0.38863976083707025,0.596511853219599,0.6113602391629297,0.6026143304516735,0.6122511575840094,3.626,0.002,2.71875,0.0,817357.0,1.9405902E7,2290322.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,7,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6243.0,693.0,441.0,228.0,24.0,63.63636363636363,32.900432900432904,3.463203463203463,0.35112646338143205,0.18510214250124563,0.41920007103001483,71.61924924125609,116.80273767291985,880.0031638895624,239552.63710012403,-238672.63393623446,1.2698458353384738,358.07569073262187,-356.76028988973763,282.06842139383394,0.4216269378084214,21152.46459605652,0.7848101265822784,310.0,0.42700729927007297,117.0,0.572992700729927,157.0,0.21518987341772153,85.0,0.7259953161592506,0.7848101265822784,0.754257907542579,0.6561649850201453,0.6591928251121076,0.3117373569551105,0.6882626430448895,0.34080717488789236,0.6559422558060402,0.6591928251121076,0.6549737991378614,0.6529014933505428,2.48,0.003,2.3125,0.0,795766.0,1.9408987E7,2287237.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,8,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6243.0,693.0,448.0,224.0,21.0,64.64646464646465,32.323232323232325,3.0303030303030303,0.37061287975715607,0.18182945526695526,0.4146617281483061,69.83888238450243,114.95018246695368,893.5993744889024,235257.61485705036,-234364.01548256146,1.289465186852673,350.08573639442017,-348.75597542047836,288.9051352456766,0.4299183560203521,21665.15349256563,0.7651515151515151,303.0,0.40217391304347827,111.0,0.5978260869565217,165.0,0.23484848484848486,93.0,0.7318840579710145,0.7651515151515151,0.7481481481481481,0.6609688694514274,0.6666666666666666,0.2992085150315261,0.700791484968474,0.3333333333333333,0.6638017303063071,0.6666666666666666,0.6645888795240096,0.6650637655448417,2.639,0.003,2.484375,0.0,799385.0,1.9408987E7,2287237.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,9,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6243.0,693.0,434.0,226.0,33.0,62.62626262626262,32.61183261183261,4.761904761904762,0.35085734180520506,0.18803948576675852,0.42137130260758465,73.53498579862381,117.86365578542278,880.3099522801368,238480.0887882387,-237599.77883595857,1.2702885314287689,361.33346786096774,-359.99966490296754,257.0551406475401,0.38947748582960623,19276.70504522589,0.7666666666666667,299.0,0.3962962962962963,107.0,0.6037037037037037,163.0,0.23333333333333334,91.0,0.7364532019704434,0.7666666666666667,0.7512562814070353,0.6615155480560625,0.6575757575757576,0.3026548402694191,0.697345159730581,0.3424242424242424,0.651220150801911,0.6575757575757576,0.6537067603475412,0.6538435134553686,2.612,0.002,2.53125,0.0,797152.0,1.9408987E7,2287237.0,?,?,?,?
P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.trees.Id3,'',-2693678647096322561,2.01803141316E7,6243.0,693.0,436.0,230.0,27.0,62.914862914862915,33.18903318903319,3.896103896103896,0.3437017994858612,0.18750625625625622,0.4201046228550028,72.61525091194596,116.89735351699561,887.771053594364,240627.3056342876,-239739.53458069323,1.2810549113915788,361.30226071214355,-359.96927114218204,274.3910106101663,0.4119985144296791,20576.73137860369,0.7653061224489796,300.0,0.4197080291970803,115.0,0.5802919708029197,159.0,0.23469387755102042,92.0,0.7228915662650602,0.7653061224489796,0.7434944237918216,0.6515031509349496,0.6546546546546547,0.31487871137186646,0.6851212886281336,0.34534534534534533,0.6480126013913337,0.6546546546546547,0.6504826641428648,0.6499509612770225,2.777,0.003,2.546875,0.0,811024.0,1.9408987E7,2287237.0,?,?,?,?
